Código;Ubicación;Fecha (AAAA-MM-DD);Precipitación (mm);ETo (P.Monteith mm);Temperatura media (ºC);Temperatura máxima (ºC);Temperatura mínima (ºC);Humedad relativa media (%);Humedad relativa máxima (%);Humedad relativa mínima (%);Vel. viento media (m/s);Dir. viento (º);Vel. viento máxima (m/s);Dir. viento racha máxima (º);Radiación total diaria (MJ/m2)
AV01;Nava de Arévalo;2021-02-27;0.00;1.73;5.49;15.38;-1.57;88.10;100.00;44.24;1.20;9.04;4.69;30.62;13.67
AV101;Muñogalindo;2021-02-27;0.00;2.31;6.56;14.82;-0.69;77.09;99.60;36.04;2.19;143.30;6.98;273.10;16.99
BU02;Valle de Valdelucio;2021-02-27;0.00;1.64;5.76;10.99;1.22;77.50;96.30;51.32;2.53;75.10;10.83;25.95;11.62
BU03;Lerma;2021-02-27;0.00;1.58;6.05;13.57;-1.07;79.06;100.00;47.38;0.87;48.93;2.02;21.45;16.38
BU04;Tardajos;2021-02-27;0.00;2.02;6.98;11.65;1.88;74.70;90.90;51.05;4.10;54.88;8.64;46.04;11.96
BU05;Vadocondes;2021-02-27;0.00;1.83;6.94;17.28;0.06;79.70;99.80;41.06;1.06;155.50;4.32;300.70;14.73
BU07;Santa Gadea del Cid;2021-02-27;0.00;1.78;8.60;12.87;4.36;75.60;90.10;49.16;2.10;25.64;5.77;30.76;11.88
BU101;Valle de Losa;2021-02-27;0.00;1.28;6.97;10.26;3.48;87.80;94.60;73.60;2.39;298.30;6.38;293.30;12.19
BU102;Condado de Treviño;2021-02-27;0.00;1.88;8.07;11.94;4.05;75.21;88.40;44.93;2.31;0.31;7.03;0.50;12.79
LE01;Carracedelo;2021-02-27;0.00;1.50;8.76;21.52;1.53;76.90;98.10;33.33;0.40;128.20;1.97;218.30;13.00
LE02;Mansilla mayor;2021-02-27;0.20;1.73;6.45;16.03;-0.89;74.10;100.00;31.08;0.86;17.92;4.25;95.30;15.94
LE03;Cubillas de los Oteros;2021-02-27;0.00;1.84;6.41;15.51;-0.57;74.30;98.10;34.20;1.17;54.93;5.29;48.94;15.31
LE04;Zotes del Páramo;2021-02-27;0.00;1.73;6.26;14.82;-0.04;79.70;98.50;50.21;1.37;34.30;6.53;69.22;15.36
LE05;Quintana del Marco;2021-02-27;0.00;1.69;6.77;15.52;-0.09;80.90;100.00;50.20;1.20;25.17;4.37;88.10;14.85
LE06;Hospital de Orbigo;2021-02-27;0.20;1.58;7.01;15.59;0.05;77.70;98.90;44.26;0.79;94.70;3.38;116.70;14.89
LE07;Bustillo del Páramo;2021-02-27;0.00;1.71;6.23;14.97;-0.22;79.40;100.00;45.48;1.30;12.28;3.97;132.30;14.30
LE08;Sahagún;2021-02-27;0.00;2.42;8.12;14.32;4.00;64.46;93.60;34.39;2.69;69.23;7.06;90.80;15.93
LE09;Santas Martas;2021-02-27;0.00;2.55;7.21;15.00;1.65;71.90;96.80;31.31;2.79;62.90;6.45;72.80;16.04
P01;Torquemada;2021-02-27;0.20;2.47;7.03;13.71;2.40;74.80;96.60;41.63;4.06;49.21;9.84;32.41;14.68
P02;Villamuriel de Cerrato;2021-02-27;0.00;2.21;7.85;14.71;3.55;76.90;100.00;42.18;2.65;45.97;6.76;52.25;15.02
P03;Fuentes de Nava;2021-02-27;0.00;2.29;7.85;14.08;3.30;74.70;91.40;48.70;3.41;49.46;8.86;52.84;15.55
P04;Villoldo;2021-02-27;0.00;2.25;6.59;13.62;1.73;80.10;100.00;47.89;3.94;51.78;10.08;66.06;15.66
P06;Herrera de Pisuerga;2021-02-27;0.00;1.81;5.46;10.91;0.61;75.80;97.80;46.85;2.72;33.11;7.55;34.54;14.18
P07;Villaluenga de la Vega;2021-02-27;0.00;1.95;8.45;14.42;3.15;65.92;90.60;33.11;1.28;77.40;6.74;47.49;16.71
P08;Lantadilla;2021-02-27;0.00;2.39;7.03;13.04;1.57;75.40;93.50;38.67;3.78;60.30;9.16;80.70;13.06
P101;Villaeles de Valdavia;2021-02-27;0.00;2.27;6.93;12.82;2.70;67.94;92.30;42.58;3.09;216.14;6.08;251.60;17.53
SA01;Ciudad Rodrigo;2021-02-27;0.20;1.72;8.47;16.67;1.42;82.50;100.00;49.35;1.04;24.34;5.22;35.32;13.75
SA03;Aldearrubia;2021-02-27;0.00;1.98;8.06;14.88;3.19;83.10;100.00;51.73;2.34;50.00;7.48;43.77;14.37
SA101;Arabayona;2021-02-27;0.00;1.49;6.23;14.08;1.32;81.90;97.40;50.06;0.79;1.26;1.50;2.83;13.62
