BVP,Heart Rate,Alpha,Beta,Gamma,Label
20.328,80.005,1.278,-0.012,2.689,1
20.36,80.005,1.271,-0.978,1.366,1
20.405,80.005,-2.046,2.591,-0.554,1
20.437,80.005,1.114,-3.597,0.062,1
20.455,80.005,0.704,3.139,-1.613,1
20.471,80.005,-2.782,-2.083,-0.571,1
20.473,80.005,1.207,1.742,-1.848,1
20.451,80.005,3.485,-1.203,1.633,1
20.407,80.005,-3.43,-0.068,2.114,1
20.456,80.005,-3.241,1.137,-0.715,1
20.87,80.005,7.098,-2.62,1.068,1
21.36,80.005,-1.526,4.297,-1.048,1
21.578,80.005,-6.434,-4.867,-3.385,1
21.594,80.005,6.094,2.812,0.196,1
21.571,80.005,1.566,-0.759,2.149,1
21.576,80.005,-6.43,0.304,0.014,1
21.591,80.005,3.245,-0.883,1.545,1
21.218,80.005,2.922,2.834,0.991,1
20.473,80.005,-4.353,-4.035,-1.035,1
19.987,80.005,0.248,2.921,-1.186,1
19.867,80,3.259,-1.576,-4.388,1
19.863,80.005,-1.295,-0.463,0.742,1
19.826,80.005,-2.798,2.246,0.214,1
19.764,80.005,2.522,-4.065,-2.53,1
19.733,80.005,0.354,6.03,2.075,1
19.752,80.005,-0.198,-6.352,0.969,1
19.787,80.005,-0.747,3.326,-1.362,1
19.803,80.005,-2.272,2.218,0.861,1
19.816,80.005,5.06,-6.549,0.464,1
19.819,80.005,-1.265,8.199,0.636,1
19.812,80.005,-4.709,-7.62,-0.044,1
19.79,80.005,4.934,6.794,0.391,1
19.746,80.005,-0.559,-4.603,0.004,1
19.896,80.005,-1.939,-0.259,-1.008,1
20.447,80.005,1.074,4.195,-0.477,1
20.985,80.005,-1.171,-2.332,0.213,1
21.19,80.005,3.753,-0.693,2.369,1
21.197,80.005,-1.05,1.63,2.353,1
21.181,80.005,-8.616,-1.014,-2.904,1
21.21,80.005,8.391,-1.08,-3.227,1
21.198,80.005,5.554,1.717,-1.418,1
20.78,80.005,-11.37,-1.065,1.31,1
20.088,80.005,1.379,0.634,1.243,1
19.693,80.005,7.251,0.171,0.415,1
19.624,80,-4.394,0.661,0.986,1
19.621,80.005,-0.82,0.466,1.02,1
19.567,80.005,1.31,-1.633,2.161,1
19.495,80.005,-0.865,-0.127,-3.384,1
19.473,80.005,1.608,2.403,-0.133,1
19.497,80.005,-0.356,-2.098,1.913,1
19.523,80.005,-2.403,1.017,-0.344,1
19.535,80.005,1.709,-1.179,-1.04,1
19.547,80.005,1.814,-0.158,0.339,1
19.552,80.005,-3.074,1.696,1.859,1
19.536,80.005,0.752,-1.464,2.784,1
19.507,80.005,2.399,0.47,-2.446,1
19.511,80.005,-3.026,-0.418,-4.895,1
19.907,80.005,0.214,0.24,0.314,1
20.577,80.005,1.978,1.564,-1.167,1
20.961,80.005,0.368,-5.731,0.003,1
21.044,80.005,-3.324,8.641,2.538,1
21.022,80.005,0.88,-8.702,2.274,1
21.003,80.005,3.579,5.111,2.466,1
21.009,80.005,-3.131,-1.506,-1.758,1
21.032,80.005,-1.091,-0.017,-2.923,1
20.887,80.005,2.768,0.566,-0.381,1
20.401,80.005,-0.685,-0.539,-2.656,1
19.977,80.005,-0.014,-0.356,-0.282,1
19.851,79.175,-2.114,-0.13,0.728,1
19.848,79.18,1.596,-0.135,0.179,1
19.826,79.18,2.25,0.645,1.507,1
19.758,79.18,-3.104,-0.577,-1.435,1
19.691,79.18,-0.003,-0.784,-2.697,1
19.686,79.18,0.517,3.869,3.289,1
19.722,79.18,2.311,-4.741,1.856,1
19.745,79.18,-1.001,1.686,-2.089,1
19.754,79.18,-4.76,0.084,-0.774,1
19.756,79.18,5.185,2.449,1.642,1
19.747,79.18,2.28,-3.428,1.548,1
19.719,79.18,-6.854,2.8,0.952,1
19.725,79.18,2.476,-3.154,-0.503,1
20.127,79.18,3.051,5.077,0.048,1
20.719,79.18,-2.473,-6.265,-0.023,1
21.024,79.18,-0.574,3.747,0.784,1
21.06,79.18,0.535,2.23,-0.231,1
21.025,79.18,1.371,-6.027,-1.678,1
21.018,79.18,-1.759,6.774,0.196,1
21.047,79.18,0.631,-5.576,-0.324,1
21.073,79.18,1.201,3.893,-1.249,1
21.054,79.18,-3.025,-3.153,-0.977,1
20.728,79.18,2.602,1.394,0.659,1
20.205,79.18,0.719,1.669,1.108,1
19.9,79.18,-3.064,-2.817,-2.548,1
19.849,77.576,1.226,1.205,-1.341,1
19.852,77.581,1.818,-0.718,2.353,1
19.844,77.581,-1.588,0.139,0.992,1
19.817,77.581,-0.519,0.158,3.448,1
